id,blood_type,latitude,longitude,last_donation,phone
1,B-,21.38461600572032,83.63394784976929,2025-04-24,+918503284936
2,B+,20.54893607869918,86.36904569087855,2025-03-27,+917493841833
3,O-,20.145182658650175,85.0487994407321,2024-06-04,+918177076811
4,A-,19.30935392289699,84.79716765652968,2025-04-01,+919973261499
5,O-,18.76621119015099,82.69224505036506,2024-06-11,+918351801141
6,A+,18.352603102829868,82.17442062641152,2025-03-14,+917852642464
7,AB+,22.073541711905534,84.03562680561859,2024-07-09,+918931368155
8,AB-,21.35748494105025,83.65658885604574,2025-03-16,+917938966545
9,O+,20.68727810674243,83.49786432586644,2025-01-30,+917100928497
10,B+,18.806101654199097,82.75475353066295,2024-08-06,+918213387612
11,B+,20.112062602645594,85.0639395428248,2024-07-08,+919827706054
12,B+,20.088439921859607,85.13379032614147,2024-07-28,+919606887207
13,B-,20.114240343567925,85.07763872408135,2025-03-03,+918161140106
14,AB-,21.36330052672953,83.59879897751134,2024-08-27,+917575419533
15,B+,20.736719593731163,83.5040433456707,2024-06-17,+919947247785
16,O+,20.4526557091551,85.90347583121957,2024-05-19,+918248915783
17,AB+,21.301248062299983,83.63786196879717,2025-03-16,+919980272837
18,B+,21.433150083702323,83.9529535650998,2024-05-08,+917608486078
19,A-,20.243122096426852,86.21453998880924,2024-11-08,+917197467708
20,A+,22.132761904129186,84.01636365739824,2025-02-20,+918214872326
21,AB-,21.471722638150876,86.92141398325387,2024-10-10,+919705416595
22,AB-,19.288579264192247,84.81788696536599,2025-02-23,+919311904802
23,B+,22.087859997920127,84.01247954214378,2024-11-05,+917104513032
24,B-,20.496622842208488,86.45722937381242,2025-02-20,+917969171700
25,A+,22.306420614546848,84.85846803099415,2025-01-19,+919891248204
26,B+,21.542085573055253,86.9638679767371,2024-12-19,+917882122633
27,B+,20.147172406882863,85.63178578913151,2024-11-22,+917536934218
28,O-,22.08551317549289,84.01352002741538,2025-01-28,+917222257929
29,A+,20.694755370217077,83.47263155872152,2024-08-07,+917414175859
30,O-,22.092799922112718,84.02774750730377,2024-08-06,+918361081188
31,O+,20.483097287848565,85.85426167448156,2024-06-13,+918341941274
32,A+,19.352768221036637,84.74708797676986,2025-02-27,+919438277028
33,A+,20.677771711496924,83.46225677377518,2024-11-16,+918798957450
34,AB+,21.420562001899384,83.95793735717552,2025-04-02,+918613040426
35,A+,20.740868591549212,83.45963898762466,2024-05-30,+917649181482
36,O-,20.260421268057488,85.82857842040082,2024-12-12,+918308760369
37,O+,20.729257028456967,83.4976703988036,2024-09-18,+917229413564
38,A+,20.725333391909114,83.45477178733344,2025-03-22,+919495603696
39,A+,20.63888603117231,85.61154944232405,2024-12-22,+918217642489
40,A-,20.088380775511745,85.13473775240232,2024-05-27,+917111203094
41,AB-,20.090013484497916,85.07156503799952,2024-06-23,+917910887670
42,A+,19.771401594973295,85.8281801926538,2024-06-22,+919434489130
43,O-,18.852183134637166,82.68782289462003,2024-05-31,+918217482764
